,City,Country,Lat,Lng,Hotel Name
395,tome,CL,-36.6167,-72.95,Cabañas Punta De Parra
396,high level,US,33.6123,-95.7472,
397,hualmay,PE,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
398,saskylakh,RU,71.9167,114.0833,Sberbank Rossii
399,saldanha,ZA,-33.0117,17.9442,Saldanha Bay Hotel
400,bell ville,US,31.0502,-97.4669,River Forest Inn
401,husavik,IS,66.0449,-17.3389,Fosshotel Húsavík
402,quito,EC,-0.2299,-78.5249,Le Parc Hotel
403,bambous virieux,MU,-20.2567,57.4061,Pearle Beach Resort & Spa
404,arauco,CL,-37.2463,-73.3175,Hotel El Arriero
405,tabou,CI,4.423,-7.3528,hotêl doufoulougou
406,pevek,RU,69.7008,170.3133,Severnoye Zoloto
407,kyrylivka,UA,46.3759,35.3675,"Rok-Hotelʹ ""Kleopatra"""
408,arraial do cabo,BR,-22.8362,-46.646,
409,lugazi,UG,0.3772,32.9197,Villa Anona Guest House
410,mahebourg,MU,-20.4081,57.7,Holiday Inn Mauritius Mon Tresor
411,touros,BR,-5.1989,-35.4608,Hotel Vila Gale Touros
412,souillac,MU,-20.5167,57.5167,SkylineInn Hotel
413,pangnirtung,CA,66.1451,-65.7125,Auyuittuq Lodge (Inns North)
414,onguday,RU,50.75,86.15,"Usad'ba ""Belaya Chud'"""
415,itupeva,BR,-23.1531,-47.0578,Hotel Intercity Itupeva
416,atuntaqui,EC,0.3333,-78.2167,Hosteria Natabuela
417,mwense,ZM,-10.3845,28.698,
418,maroantsetra,MG,-15.4333,49.7333,Hotel l'Hippocampe
419,cabo san lucas,BR,-8.2833,-35.0333,Hotel Intercity Suape Costa Dourada
420,norman wells,US,35.2226,-97.4395,Embassy Suites by Hilton Norman Hotel & Conference Center
421,srednekolymsk,RU,67.45,153.6833,
422,olinda,BR,-8.0089,-34.8553,Pousada do Amparo
423,nagato,JP,34.3833,131.2,KULABO Taishokan
424,lamar,US,33.6668,-95.5836,Days Inn by Wyndham Paris
425,kyaiklat,MM,16.4333,95.7333,
426,houma,US,29.5958,-90.7195,Candlewood Suites Houma
427,mayumba,GA,-3.432,10.6554,Motel La Banio
428,martapura,ID,-3.4167,114.85,RedDoorz Syariah near Q Mall Banjarbaru
429,jishou,CN,28.3167,109.7167,Biancheng Internationl Hotel
430,lagos,NG,6.5833,3.75,
431,ipixuna,BR,-1.7625,-48.8043,
432,chegdomyn,RU,51.1167,133.0167,Gostinitsa Ostrov
433,sinnamary,GF,5.3833,-52.95,L'oiseau de Paradis
434,miguel hidalgo,BR,-5.0092,-38.704,
435,tarakan,ID,3.3,117.6333,Hotel Lembasung
436,sambava,MG,-14.2667,50.1667,Hôtel Las Palmas
437,ginir,ET,7.1333,40.7,Sikko Mando Hotel Ginir Ethiopia
438,kolpashevo,RU,58.3131,82.9089,Gorizont
439,rocha,UY,-34.4833,-54.3333,
440,tongren,CN,27.7172,109.1853,Baoxin Hotel
441,seia,PT,40.4151,-7.7086,Hotel Eurosol Seia Camelo
442,paramonga,PE,-10.6667,-77.8333,
443,yining,CN,29.0361,114.5636,Xiuhe Hot Spring Holiday Hotel
444,svetlaya,RU,46.5389,138.3297,
445,pangoa,PE,-12.1167,-73.0,
446,nanortalik,GL,60.1432,-45.2371,Hotel Kap Farvel
